<<,Price
^,1476460800,4.290000
^,1476374400,4.280000
^,1476288000,4.310000
^,1476201600,4.340000
^,1476115200,4.350000
^,1475769600,4.310000
^,1475683200,4.300000
^,1475510400,4.310000
^,1475251200,4.300000
^,1475164800,4.280000
^,1474905600,4.290000
^,1474646400,4.280000
^,1474560000,4.270000
^,1474473600,4.240000
^,1474387200,4.290000
^,1474041600,4.230000
^,1473955200,4.210000
^,1473868800,4.260000
^,1473782400,4.280000
^,1473696000,4.240000
^,1473350400,4.300000
^,1473264000,4.270000
^,1473177600,4.280000
^,1473091200,4.320000
^,1472745600,4.310000
^,1472659200,4.320000
^,1472572800,4.310000
^,1472486400,4.280000
^,1472140800,4.300000
^,1472054400,4.340000
^,1471881600,4.350000
^,1471622400,4.310000
^,1471449600,4.360000
^,1471363200,4.320000
^,1471276800,4.300000
^,1471017600,4.340000
^,1470931200,4.330000
^,1470844800,4.310000
^,1470758400,4.340000
^,1470672000,4.350000
^,1470412800,4.320000
^,1470326400,4.280000
^,1470240000,4.310000
^,1470153600,4.300000
^,1470067200,4.330000
^,1469808000,4.290000
^,1469721600,4.310000
^,1469635200,4.280000
^,1469548800,4.310000
^,1469462400,4.330000
^,1469203200,4.280000
^,1469116800,4.320000
^,1469030400,4.240000
^,1468944000,4.220000
^,1468857600,4.210000
^,1468598400,4.220000
^,1468512000,4.200000
^,1468425600,4.210000
^,1468339200,4.200000
^,1467907200,4.180000
^,1467820800,4.170000
^,1467734400,4.130000
^,1467648000,4.120000
^,1467388800,4.180000
^,1467302400,4.150000
^,1467129600,4.110000
^,1467043200,4.140000
^,1466784000,4.160000
^,1466769600,4.049676
^,1466697600,4.190000
^,1466438400,4.200000
^,1466179200,4.110000
^,1466092800,4.140000
^,1466006400,4.090000
^,1465920000,4.120000
^,1465905600,4.139257
^,1465574400,4.140000
^,1465488000,4.190000
^,1465401600,4.140000
^,1465315200,4.160000
^,1465228800,4.150000
^,1464969600,4.190000
^,1464883200,4.210000
^,1464796800,4.240000
^,1464710400,4.200000
^,1464624000,4.240000
^,1464364800,4.280000
^,1464278400,4.370000
^,1464192000,4.300000
^,1464105600,4.330000
^,1463760000,4.290000
^,1463673600,4.250000
^,1463414400,4.280000
^,1463155200,4.300000
^,1463068800,4.320000
^,1462982400,4.310000
^,1462896000,4.290000
^,1462550400,4.280000
^,1462377600,4.290000
^,1462291200,4.300000
^,1462204800,4.270000
^,1461945600,4.290000
^,1461772800,4.250000
^,1461686400,4.270000
^,1461254400,4.260000
^,1461168000,4.240000
^,1461081600,4.270000
^,1460995200,4.300000
^,1460736000,4.290000
^,1460649600,4.280000
^,1460563200,4.200000
^,1460476800,4.170000
^,1460390400,4.150000
^,1460131200,4.180000
^,1460044800,4.160000
^,1459958400,4.190000
^,1459872000,4.200000
^,1459526400,4.220000
^,1459440000,4.280000
^,1459267200,4.250000
^,1458835200,4.290000
